,area_num,geog,tot_pop,pop_hh,pop_gq,hisp,white,black,asian,other,total_homes,tot_hh,vac_homes,hh_size,vac_rate,hisp_per,white_per,black_per,asian_per
46,47,Burnside,2527,2527,0,65,4,2386,4,68,1192,1036,156,2.439189189189189,13.087248322147651,2.5722200237435695,0.15829046299960428,94.42026117926395,0.15829046299960428
47,48,Calumet Heights,13088,13087,1,612,104,12067,19,286,6022,5518,504,2.371692642261689,8.369312520757223,4.676039119804401,0.7946210268948656,92.1989608801956,0.14517114914425427
48,49,Roseland,38816,38257,559,926,257,36626,47,960,17381,15080,2301,2.5369363395225464,13.238593866866118,2.385614179719703,0.6620981038746908,94.35799670239076,0.1210840890354493
49,50,Pullman,6820,6819,1,493,444,5704,8,171,3501,2995,506,2.276794657762938,14.45301342473579,7.228739002932551,6.510263929618769,83.63636363636364,0.11730205278592376
50,51,South Deering,14105,14053,52,4713,487,8590,17,298,5918,5311,607,2.646017699115044,10.256843528218992,33.41368309110245,3.4526763559021623,60.900389932648,0.12052463665366892
51,52,East Side,21724,21715,9,17834,2627,910,63,290,7687,7004,683,3.100371216447744,8.885130740210746,82.09353710182288,12.092616461056895,4.1889154851776835,0.29000184128153195
52,53,West Pullman,26104,26087,17,1598,210,23645,25,626,10944,9650,1294,2.7033160621761656,11.823830409356725,6.12166717744407,0.8044744100520993,90.57998774134232,0.09577076310144039
53,54,Riverdale,7262,7248,14,206,41,6830,6,179,2799,2523,276,2.872770511296076,9.860664523043944,2.8366841090608648,0.5645827595703663,94.0512255576976,0.08262186725419994
54,55,Hegewisch,10027,10026,1,5795,3112,874,45,201,4054,3677,377,2.726679358172423,9.29945732609768,57.79395631794156,31.036202253914432,8.71646554303381,0.4487882716665004
55,56,Garfield Ridge,35439,35149,290,19088,13604,1751,451,545,12772,12236,536,2.87258908139915,4.1966802380206705,53.86156494257739,38.38708767177403,4.9408843364654755,1.2726092722706623
56,57,Archer Heights,14196,14168,28,11664,1662,124,611,135,4405,4163,242,3.403314917127072,5.493757094211124,82.16398985629755,11.707523245984785,0.8734854888701042,4.304029304029304
57,58,Brighton Park,45053,45038,15,36756,2474,591,4895,337,14825,13592,1233,3.3135668040023543,8.317032040472176,81.58391228109116,5.491310234612567,1.3117883381794775,10.864981244312254
58,59,McKinley Park,15923,15890,33,8908,2173,255,4294,293,5992,5538,454,2.8692668833513904,7.576769025367156,55.94423161464548,13.646925830559567,1.6014570118696225,26.967280035169253
59,60,Bridgeport,33702,33665,37,7400,10350,900,14176,876,14614,13339,1275,2.523802383986806,8.724510743123032,21.957153878108123,30.710343599786363,2.670464660850988,42.062785591359564
60,61,New City,43628,43320,308,29493,4168,8142,1214,611,15959,13813,2146,3.1361760660247597,13.446957829437935,67.60108187402585,9.553497753736133,18.662326945997982,2.7826166681947373
61,62,West Elsdon,18394,18379,15,15545,1939,279,487,144,5532,5258,274,3.49543552681628,4.953000723065799,84.5112536696749,10.541480917690551,1.5167989561813635,2.6476024790692616
62,63,Gage Park,39540,39508,32,36132,1393,1398,231,386,10890,10353,537,3.816091954022988,4.931129476584022,91.38088012139606,3.5230146686899344,3.535660091047041,0.5842185128983308
63,64,Clearing,24473,24471,2,14471,8761,557,277,407,9272,8884,388,2.754502476361999,4.184641932700604,59.130470314223835,35.79863523066236,2.275977607976137,1.1318596003759245
64,65,West Lawn,33662,33603,59,29378,2853,1059,172,200,9710,9244,466,3.6351146689744698,4.799176107106076,87.27348345315193,8.475432238132019,3.1459806309785514,0.5109619155130414
