comm_area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
61,,6.0,71.0,31.0,17.0,5.0,13.0,14.0,5.0,16.0,19.0,13.0,9.0,19.0,18.0,24.0,15.0,6.0,
62,,1.0,15.0,18.0,10.0,,,,,1.0,1.0,14.0,,1.0,1.0,2.0,,1.0,
63,,1.0,13.0,5.0,8.0,2.0,4.0,5.0,3.0,4.0,1.0,2.0,3.0,6.0,4.0,3.0,2.0,2.0,
64,,3.0,57.0,9.0,9.0,1.0,1.0,,2.0,6.0,5.0,3.0,10.0,5.0,7.0,3.0,4.0,1.0,
65,,1.0,6.0,1.0,,2.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,
66,,3.0,14.0,21.0,6.0,5.0,5.0,2.0,1.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,
67,,,48.0,70.0,6.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,,
68,,5.0,35.0,25.0,26.0,13.0,2.0,3.0,1.0,11.0,6.0,8.0,7.0,4.0,11.0,24.0,5.0,4.0,
69,,3.0,46.0,50.0,16.0,6.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,7.0,6.0,4.0,4.0,3.0,
70,,4.0,3.0,8.0,9.0,3.0,6.0,5.0,5.0,3.0,1.0,1.0,5.0,1.0,7.0,1.0,5.0,2.0,1.0
71,,2.0,45.0,34.0,11.0,8.0,3.0,9.0,2.0,4.0,2.0,4.0,6.0,3.0,3.0,4.0,4.0,,
72,,,12.0,16.0,5.0,1.0,,,8.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,3.0,5.0,
73,,2.0,10.0,52.0,10.0,1.0,1.0,3.0,1.0,22.0,17.0,8.0,25.0,19.0,1.0,16.0,1.0,2.0,
74,,,27.0,16.0,6.0,6.0,6.0,5.0,5.0,9.0,12.0,12.0,11.0,8.0,10.0,14.0,6.0,8.0,
75,1.0,1.0,14.0,14.0,16.0,6.0,4.0,1.0,1.0,1.0,7.0,6.0,4.0,3.0,6.0,4.0,3.0,2.0,
76,,,2.0,4.0,16.0,14.0,2.0,5.0,,3.0,4.0,6.0,12.0,13.0,20.0,11.0,3.0,,
77,,,26.0,14.0,7.0,6.0,6.0,3.0,4.0,12.0,10.0,21.0,12.0,20.0,24.0,13.0,12.0,15.0,1.0
